filename,content
Data_Analysis_with_DuckDB.md,"Data Analysis with DuckDB
-------------------------------------------------------------------------------------
[](https://youtu.be/4U0GqYrET5s)
You’ll learn how to perform data analysis using DuckDB and Pandas, covering:
 Parquet for Data Storage: Understand why Parquet is a faster, more compact, and better-typed storage format compared to CSV, JSON, and SQLite.
 DuckDB Setup: Learn how to install and set up DuckDB, along with integrating it into a Jupyter notebook environment.
 File Format Comparisons: Compare file formats by speed and size, observing the performance difference between saving and loading data in CSV, JSON, SQLite, and Parquet.
 Faster Queries with DuckDB: Learn how DuckDB uses parallel processing, columnar storage, and on-disk operations to outperform Pandas in speed and memory efficiency.
 SQL Query Execution in DuckDB: Run SQL queries directly on Parquet files and Pandas DataFrames to compute metrics such as the number of unique flight routes delayed by certain time intervals.
 Memory Efficiency: Understand how DuckDB performs analytics without loading entire datasets into memory, making it highly efficient for large-scale data analysis.
 Mixing DuckDB and Pandas: Learn to interleave DuckDB and Pandas operations, leveraging the strengths of both tools to perform complex queries like correlations and aggregations.
 Ranking and Filtering Data: Use SQL and Pandas to rank arrival delays by distance and extract key insights, such as the earliest flight arrival for each route.
 Joining Data: Create a cost analysis by joining datasets and calculating total costs of flight delays, demonstrating DuckDB’s speed in joining and aggregating large datasets.
Here are the links used in the video:
 Data analysis with DuckDB - Notebook
 Parquet file format - a fast columnar storage format that’s becoming a de facto standard for big data
 DuckDB - a fast in-memory database that’s very good with large-scale analysis
 Plotly Datasets - a collection of sample datasets for analysis. This includes the Kaggle Flights Dataset that the notebook downloads as 2015\flights.parquet
Previous
Data Analysis with Datasette
Next
Data Analysis with ChatGPT"
Extracting_Audio_and_Transcripts.md,"Extracting Audio and Transcripts
----------------------------------------------------------------------------------------------------------
Media Processing: FFmpeg
-----------------------------------------------------------------------------------------
FFmpeg is the standard command-line tool for processing video and audio files. It’s essential for data scientists working with media files for:
 Extracting audio/video for machine learning
 Converting formats for web deployment
 Creating visualizations and presentations
 Processing large media datasets
Basic Operations:
Basic conversion
ffmpeg -i input.mp4 output.avi
Extract audio
ffmpeg -i input.mp4 -vn output.mp3
Convert format without re-encoding
ffmpeg -i input.mkv -c copy output.mp4
High quality encoding (crf: 0-51, lower is better)
ffmpeg -i input.mp4 -preset slower -crf 18 output.mp4Copy to clipboardErrorCopied
Common Data Science Tasks:
Extract frames for computer vision
ffmpeg -i input.mp4 -vf ""fps=1"" frames%04d.png    1 frame per second
ffmpeg -i input.mp4 -vf ""select='eq(n,0)'"" -vframes 1 firstframe.jpg
Create video from image sequence
ffmpeg -r 1/5 -i img%03d.png -c:v libx264 -vf fps=25 output.mp4
Extract audio for speech recognition
ffmpeg -i input.mp4 -ar 16000 -ac 1 audio.wav      16kHz mono
Trim video/audio for training data
ffmpeg -ss 00:01:00 -i input.mp4 -t 00:00:30 -c copy clip.mp4Copy to clipboardErrorCopied
Processing Multiple Files:
Concatenate videos (first create files.txt with list of files)
echo ""file 'input1.mp4'
file 'input2.mp4'"" > files.txt
ffmpeg -f concat -i files.txt -c copy output.mp4
Batch process with shell loop
for f in .mp4; do
    ffmpeg -i ""$f"" -vn ""audio/${f%.mp4}.wav""
doneCopy to clipboardErrorCopied
Data Analysis Features:
Get media file information
ffprobe -v quiet -printformat json -showformat -showstreams input.mp4
Display frame metadata
ffprobe -v quiet -printformat json -showframes input.mp4
Generate video thumbnails
ffmpeg -i input.mp4 -vf ""thumbnail"" -frames:v 1 thumb.jpgCopy to clipboardErrorCopied
Watch this introduction to FFmpeg (12 min):
[](https://youtu.be/MPV7JXTWPWI)
Tools:
 ffmpeg.lav.io: Interactive command builder
 FFmpeg Explorer: Visual FFmpeg command generator
 FFmpeg Buddy: Simple command generator
Tips:
1. Use -c copy when possible to avoid re-encoding
2. Monitor progress with -progress pipe:1
3. Use -hidebanner to reduce output verbosity
4. Test commands with small clips first
5. Use hardware acceleration when available (-hwaccel auto)
Error Handling:
Validate file before processing
ffprobe input.mp4 2>&1 | grep ""Invalid""
Continue on errors in batch processing
ffmpeg -i input.mp4 output.mp4 -xerror
Get detailed error information
ffmpeg -v error -i input.mp4 2>&1 | grep -A2 ""Error""Copy to clipboardErrorCopied
Media tools: yt-dlp
-------------------------------------------------------------------------------
yt-dlp is a feature-rich command-line tool for downloading audio/video from thousands of sites. It’s particularly useful for extracting audio and transcripts from videos.
Install using your package manager:
macOS
brew install yt-dlp
Linux
curl -L https://github.com/yt-dlp/yt-dlp/releases/latest/download/yt-dlp -o ~/.local/bin/yt-dlp
chmod a+rx ~/.local/bin/yt-dlp
Windows
winget install yt-dlpCopy to clipboardErrorCopied
Common operations for extracting audio and transcripts:
Download audio only at lowest quality suitable for speech
yt-dlp -f ""ba[abr<50]/worstaudio"" \
       --extract-audio \
       --audio-format mp3 \
       --audio-quality 32k \
       ""https://www.youtube.com/watch?v=VIDEOID""
Download auto-generated subtitles
yt-dlp --write-auto-sub \
       --skip-download \
       --sub-format ""srt"" \
       ""https://www.youtube.com/watch?v=VIDEOID""
Download both audio and subtitles with custom output template
yt-dlp -f ""ba[abr<50]/worstaudio"" \
       --extract-audio \
       --audio-format mp3 \
       --audio-quality 32k \
       --write-auto-sub \
       --sub-format ""srt"" \
       -o ""%(title)s.%(ext)s"" \
       ""https://www.youtube.com/watch?v=VIDEOID""
Download entire playlist's audio
yt-dlp -f ""ba[abr<50]/worstaudio"" \
       --extract-audio \
       --audio-format mp3 \
       --audio-quality 32k \
       -o ""%(playlistindex)s-%(title)s.%(ext)s"" \
       ""https://www.youtube.com/playlist?list=PLAYLISTID""Copy to clipboardErrorCopied
For Python integration:
/// script
requires-python = "">=3.9""
dependencies = [""yt-dlp""]
///
import ytdlp
def downloadaudio(url: str) -> None:
    """"""Download audio at speech-optimized quality.""""""
    ydlopts = {
        'format': 'ba[abr<50]/worstaudio',
        'postprocessors': [{
            'key': 'FFmpegExtractAudio',
            'preferredcodec': 'mp3',
            'preferredquality': '32'
        }]
    }
    with ytdlp.YoutubeDL(ydlopts) as ydl:
        ydl.download([url])
Example usage
downloadaudio('https://www.youtube.com/watch?v=VIDEOID')Copy to clipboardErrorCopied
Tools:
 ffmpeg: Required for audio extraction and conversion
 whisper: Can be used with yt-dlp for speech-to-text
 gallery-dl: Alternative for image-focused sites
Note: Always respect copyright and terms of service when downloading content.
Whisper transcription
------------------------------------------------------------------------------------
Faster Whisper is a highly optimized implementation of OpenAI’s Whisper model, offering up to 4x faster transcription while using less memory.
You can install it via:
 pip install faster-whisper
 Download Windows Standalone
Here’s a basic usage example:
faster-whisper-xxl ""video.mp4"" --model medium --language enCopy to clipboardErrorCopied
Here’s my recommendation for transcribing videos. This saves the output in JSON as well as SRT format in the source directory.
faster-whisper-xxl --printprogress --outputdir source --batchrecursive \
                   --checkfiles --standard --outputformat json srt \
                   --model medium --language en $FILECopy to clipboardErrorCopied
 --model: The OpenAI Whisper model to use. You can choose from:
  + tiny: Fastest but least accurate
  + base: Good for simple audio
  + small: Balanced speed/accuracy
  + medium: Recommended default
  + large-v3: Most accurate but slowest
 --outputformat: The output format to use. You can pick multiple formats from:
  + json: Has the most detailed information including timing, text, quality, etc.
  + srt: A popular subtitle format. You can use this in YouTube, for example.
  + vtt: A modern subtitle format.
  + txt: Just the text transcript
 --outputdir: The directory to save the output files. source indicates the source directory, i.e. where the input $FILE is
 --language: The language of the input file. If you don’t specify it, it analyzes the first 30 seconds to auto-detect. You can speed it up by specifying it.
Run faster-whisper-xxl --help for more options.
Gemini transcription
----------------------------------------------------------------------------------
The Gemini models from Google are notable in two ways:
1. They have a huge input context window. Gemini 2.0 Flash can accept 1M tokens, for example.
2. They can handle audio input.
This allows us to use Gemini to transcribe audio files.
LLMs are not good at transcribing audio faithfully. They tend to correct errors and meander from what was said. But they are intelligent. That enables a few powerful workflows. Here are some examples:
1. Transcribe into other languages. Gemini will handle the transcription and translation in a single step.
2. Summarize audio transcripts. For example, convert a podcast into a tutorial, or a meeting recording into actions.
3. Legal Proceeding Analysis. Extract case citations, dates, and other details from a legal debate.
4. Medical Consultation Summary. Extract treatments, medications, details of next visit, etc. from a medical consultation.
Here’s how to use Gemini to transcribe audio files.
1. Get a Gemini API key from Google AI Studio.
2. Set the GEMINIAPIKEY environment variable to the API key.
3. Set the MP3FILE environment variable to the path of the MP3 file you want to transcribe.
4. Run this code:
   
   curl -X POST https://generativelanguage.googleapis.com/v1beta/models/gemini-1.5-flash-002:streamGenerateContent?alt=sse \
     -H ""X-Goog-API-Key: $GEMINIAPIKEY"" \
     -H ""Content-Type: application/json"" \
     -d ""$(cat << EOF
   {
     ""contents"": [
       {
         ""role"": ""user"",
         ""parts"": [
           {
             ""inlinedata"": {
               ""mimetype"": ""audio/mp3"",
               ""data"": ""$(base64 --wrap=0 $MP3FILE)""
             }
           },
           {""text"": ""Transcribe this""}
         ]
       }
     ]
   }
   EOF
   )""Copy to clipboardErrorCopied
   
Previous
Transforming Images
Next
6. Data Analysis"
Unicode.md,"Unicode
-------------------------------
Ever noticed when you copy-paste some text and get garbage symbols? Or see garbage when you load a CSV file? This video explains why. It covers how computers store text (called character encoding) and why it sometimes goes wonky.
Learn about ASCII (the original 7-bit encoding system that could only handle 128 characters), why that wasn’t enough for global languages, and how modern solutions like Unicode save the day by letting us use any character from any language.
Some programs try to guess encodings (sometimes badly!). A signature called BOM (Byte Order Mark)helps computers know exactly how to read text files correctly.
Learn how Unicode, UTF-8 and character encoding works. This is a common gotcha when building apps that handle international text - something bootcamps often skip but developers and data scientists regularly face in the real world.
Unicode is fundamental for data scientists working with international data. Here are key concepts you need to understand:
 Character Encodings: Different ways to represent text in computers
  + ASCII (7-bit): Limited to 128 characters, English-only
  + UTF-8: Variable-width encoding, backwards compatible with ASCII
  + UTF-16: Fixed-width encoding, used in Windows and Java
  + UTF-32: Fixed-width encoding, memory inefficient but simple
Common encoding issues you’ll encounter:
Reading files with explicit encoding
with open('file.txt', encoding='utf-8') as f:
    text = f.read()
Handling encoding errors
import pandas as pd
df = pd.readcsv('data.csv', encoding='utf-8', errors='replace')
Detecting file encoding
import chardet
with open('unknown.txt', 'rb') as f:
    result = chardet.detect(f.read())
print(result['encoding'])Copy to clipboardErrorCopied
[](https://youtu.be/jeIBNn5Y5fI)
Previous
JavaScript tools: npx
Next
Browser: DevTools"
Hybrid_RAG_with_TypeSense.md,"Hybrid Retrieval Augmented Generation (Hybrid RAG) with TypeSense
--------------------------------------------------------------------------------------------------------------------------------------------------------------
Hybrid RAG combines semantic (vector) search with traditional keyword search to improve retrieval accuracy and relevance. By mixing exact text matches with embedding-based similarity, you get the best of both worlds: precision when keywords are present, and semantic recall when phrasing varies. TypeSense makes this easy with built-in hybrid search and automatic embedding generation.
Below is a fully self-contained Hybrid RAG tutorial using TypeSense, Python, and the command line.
Install and run TypeSense
Install TypeSense.
mkdir typesense-data
docker run -p 8108:8108 \
  -v typesense-data:/data typesense/typesense:28.0 \
  --data-dir /data \
  --api-key=secret-key \
  --enable-corsCopy to clipboardErrorCopied
 docker run: spins up a containerized TypeSense server on port 8108
  + -p 8108:8108 maps host port to container port.
  + -v typesense-data:/data mounts a Docker volume for persistence.
  + --data-dir /data points TypeSense at that volume.
  + --api-key=secret-key secures your API.
  + --enable-cors allows browser-based requests.
Expected output:
 Docker logs showing TypeSense startup messages, such as Started Typesense API server.
 Listening on http://0.0.0.0:8108.
Embed and import documents into TypeSense
Follow the steps in the RAG with the CLI tutorial to create a chunks.json that has one {id, content} JSON object per line.
TypeSense supports automatic embedding of documents. We’ll use that capability.
Save the following as addnotes.py and run it with uv run addnotes.py.
/// script
requires-python = "">=3.13""
dependencies = [""httpx""]
///
import json
import httpx
import os
headers = {""X-TYPESENSE-API-KEY"": ""secret-key""}
schema = {
    ""name"": ""notes"",
    ""fields"": [
        {""name"": ""id"", ""type"": ""string"", ""facet"": False},
        {""name"": ""content"", ""type"": ""string"", ""facet"": False},
        {
            ""name"": ""embedding"",
            ""type"": ""float[]"",
            ""embed"": {
                ""from"": [""content""],
                ""modelconfig"": {
                    ""modelname"": ""openai/text-embedding-3-small"",
                    ""apikey"": os.getenv(""OPENAIAPIKEY""),
                },
            },
        },
    ],
}
with open(""chunks.json"", ""r"") as f:
    chunks = [json.loads(line) for line in f.readlines()]
with httpx.Client() as client:
    Create the collection
    if client.get(f""http://localhost:8108/collections/notes"", headers=headers).statuscode == 404:
        r = client.post(""http://localhost:8108/collections"", json=schema, headers=headers)
    Embed the chunks
    result = client.post(
        ""http://localhost:8108/collections/notes/documents/import?action=emplace"",
        headers={headers, ""Content-Type"": ""text/plain""},
        data=""\n"".join(json.dumps(chunk) for chunk in chunks),
    )
    print(result.text)Copy to clipboardErrorCopied
 httpx.Client: an HTTP client for Python.
 Collection schema: id and content fields plus an embedding field with auto-generated embeddings from OpenAI.
 Auto-embedding: the embed block instructs TypeSense to call the specified model for each document.
 GET /collections/notes: checks existence.
 POST /collections: creates the collection.
 POST /collections/notes/documents/import?action=emplace: bulk upsert documents, embedding them on the fly.
Expected output:
 A JSON summary string like {""success"": X, ""failed"": 0} indicating how many docs were imported.
 (On timeouts, re-run until all chunks are processed.)
4. Run a hybrid search and answer a question
Now, we can use a single curl against the Multi-Search endpoint to combine keyword and vector search as a hybrid search:
Q=""What does the author affectionately call the => syntax?""
payload=$(jq -n --arg coll ""notes"" --arg q ""$Q"" \
  '{
     searches: [
       {
         collection: $coll,
         q:           $q,
         queryby:    ""content,embedding"",
         sortby:     ""textmatch:desc"",
         prefix:      false,
         excludefields: ""embedding""
       }
     ]
   }'
)
curl -s 'http://localhost:8108/multisearch' \
  -H ""X-TYPESENSE-API-KEY: secret-key"" \
  -d ""$payload"" \
  | jq -r '.results[].hits[].document.content' \
  | llm -s ""${Q} - \$Answer ONLY from these notes. Cite verbatim from the notes."" \
  | uvx streamdownCopy to clipboardErrorCopied
 queryby: ""content,embedding"": tells TypeSense to score by both keyword and vector similarity.
 sortby: ""textmatch:desc"": boosts exact text hits.
 excludefields: ""embedding"": keeps responses lightweight.
 curl -d: posts the search request.
 jq -r: extracts each hit’s content. See jq manual
 llm -s and uvx streamdown: generate and stream a grounded answer.
Expected output:
 The raw matched snippets printed first.
 Then a concise, streamed LLM answer citing the note verbatim.
Previous
RAG with the CLI)
Next
Function Calling"
TDS_TA_Instructions.md,"TDS TA Instructions
===================================================================
The TDS TA is a virtual assistant that helps you with your doubts.
It has been trained on course content created as follows:
Clone the course repository
git clone https://github.com/sanand0/tools-in-data-science-public.git
cd tools-in-data-science-public
Create a prompt file for the TA
PYTHONUTF8=1 uvx files-to-prompt --cxml .md -o tds-content.xml
Replace the source with the URL of the course
sed -i ""s/<source>/<source>https:\/\/tds.s-anand.net\/\//g"" tds-content.xmlCopy to clipboardErrorCopied
Additionally, we visit each of the evaluation links on <https://exam.sanand.workers.dev/>, copy it as Markdown, and add it to the content, called ga1.md, ga2.md, etc.
These files are uploaded to the IITM TDS Teaching Assistant.
Take a look at the GPT’s instructions. These were generated by the OpenAI Prompt Generation tool.
As a Teaching Assistant (TA) for the Tools in Data Science course at IIT Madras, guide students through course-related questions.
1. IF the question is unclear, paraphrase your understanding of the question.
2. Cite all relevant sections from tds-content.xml or ga.md. Begin with: ""According to this reference, ..."". Cite ONLY from the relevant <source>. ALWAYS cite verbatim. Mention ALL material relevant to the question.
3. Search online for additional answers. Share results WITH CITATION LINKS.
4. Think step-by-step. Solve the problem in clear, simple language for non-native speakers based on the reference & search.
5. Follow-up: Ask thoughtful questions to help students explore and learn.Copy to clipboardErrorCopied
Previous
Prompt engineering
Next
TDS GPT Reviewer"
REST_APIs.md,"REST APIs
-------------------------------------
REST (Representational State Transfer) APIs are the standard way to build web services that allow different systems to communicate over HTTP. They use standard HTTP methods and JSON for data exchange.
Watch this comprehensive introduction to REST APIs (52 min):
[](https://youtu.be/qbLc5a9jdXo)
Key Concepts:
1. HTTP Methods
    GET: Retrieve data
    POST: Create new data
    PUT/PATCH: Update existing data
    DELETE: Remove data
2. Status Codes
    2xx: Success (200 OK, 201 Created)
    4xx: Client errors (400 Bad Request, 404 Not Found)
    5xx: Server errors (500 Internal Server Error)
Here’s a minimal REST API using FastAPI. Run this server.py script via uv run server.py:
/// script
requires-python = "">=3.13""
dependencies = [
""fastapi"",
""uvicorn"",
]
///
from fastapi import FastAPI, HTTPException
from typing import Dict, List
app = FastAPI()
Create a list of items that will act like a database
items: List[Dict[str, float | int | str]] = []
Create a GET endpoint that returns all items
@app.get(""/items"")
async def getitems() -> List[Dict[str, float | int | str]]:
    return items
Create a GET endpoint that returns a specific item by ID
@app.get(""/items/{itemid}"")
async def getitem(itemid: int) -> Dict[str, float | int | str]:
    if item := next((i for i in items if i[""id""] == itemid), None):
        return item
    raise HTTPException(statuscode=404, detail=""Item not found"")
Create a POST endpoint that creates a new item
@app.post(""/items"")
async def createitem(item: Dict[str, float | str]) -> Dict[str, float | int | str]:
    newitem = {""id"": len(items) + 1, ""name"": item[""name""], ""price"": float(item[""price""])}
    items.append(newitem)
    return newitem
if name == ""main"":
    import uvicorn
    uvicorn.run(app, host=""0.0.0.0"", port=8000)Copy to clipboardErrorCopied
Test the API with curl:
Get all items
curl http://localhost:8000/items
Create an item
curl -X POST http://localhost:8000/items \
  -H ""Content-Type: application/json"" \
  -d '{""name"": ""Book"", ""price"": 29.99}'
Get specific item
curl http://localhost:8000/items/1Copy to clipboardErrorCopied
Best Practices:
1. Use Nouns for Resources
    Good: /users, /posts
    Bad: /getUsers, /createPost
2. Version Your API
   
   /api/v1/users
   /api/v2/usersCopy to clipboardErrorCopied
   
3. Handle Errors Consistently
   
   {
     ""error"": ""Not Found"",
     ""message"": ""User 123 not found"",
     ""statuscode"": 404
   }Copy to clipboardErrorCopied
   
4. Use Query Parameters for Filtering
   
   /api/posts?status=published&category=techCopy to clipboardErrorCopied
   
5. Implement Pagination
   
   /api/posts?page=2&limit=10Copy to clipboardErrorCopied
   
Tools:
 Postman: API testing and documentation
 Swagger/OpenAPI: API documentation
 HTTPie: Modern command-line HTTP client
 JSON Schema: API request/response validation
Learn more about REST APIs:
 REST API Design Best Practices
 Microsoft REST API Guidelines
 Google API Design Guide
Previous
CORS
Next
Web Framework: FastAPI"
LLM_Sentiment_Analysis.md,"LLM Sentiment Analysis
----------------------------------------------------------------------------
OpenAI’s API provides access to language models like GPT 4o, GPT 4o mini, etc.
For more details, read OpenAI’s guide for:
 Text Generation
 Vision
 Structured Outputs
Start with this quick tutorial:
[](https://youtu.be/Xz4ORA0cOwQ)
Here’s a minimal example using curl to generate text:
curl https://api.openai.com/v1/chat/completions \
  -H ""Content-Type: application/json"" \
  -H ""Authorization: Bearer $OPENAIAPIKEY"" \
  -d '{
    ""model"": ""gpt-4o-mini"",
    ""messages"": [{ ""role"": ""user"", ""content"": ""Write a haiku about programming."" }]
  }'Copy to clipboardErrorCopied
Let’s break down the request:
 curl https://api.openai.com/v1/chat/completions: The API endpoint for text generation.
 -H ""Content-Type: application/json"": The content type of the request.
 -H ""Authorization: Bearer $OPENAIAPIKEY"": The API key for authentication.
 -d: The request body.
  + ""model"": ""gpt-4o-mini"": The model to use for text generation.
  + ""messages"":: The messages to send to the model.
    - ""role"": ""user"": The role of the message.
    - ""content"": ""Write a haiku about programming."": The content of the message.
[](https://youtu.be/D46QrX-2iU)
This video explains how to use large language models (LLMs) for sentiment analysis and classification, covering:
 Sentiment Analysis: Use OpenAI API to identify the sentiment of movie reviews as positive or negative.
 Prompt Engineering: Learn how to craft effective prompts to get desired results from LLMs.
 LLM Training: Understand how to train LLMs by providing examples and feedback.
 OpenAI API Integration: Integrate OpenAI API into Python code to perform sentiment analysis.
 Tokenization: Learn about tokenization and its impact on LLM input and cost.
 Zero-Shot, One-Shot, and Multi-Shot Learning: Understand different approaches to using LLMs for learning.
Here are the links used in the video:
 Jupyter Notebook
 Movie reviews dataset
 OpenAI Playground
 OpenAI Pricing
 OpenAI Tokenizer
 OpenAI API Reference
 OpenAI Docs
Previous
TDS GPT Reviewer
Next
LLM Text Extraction"
Visualizing_Network_Data_with_Kumu.md,"Visualizing Network Data with Kumu
----------------------------------------------------------------------------------------------------------------
[](https://youtu.be/OndB17bigkc)
 Kumu
 IMDB data
 Jupyter Notebook
[](https://youtu.be/oi4fDzqsCes)
Previous
Visualizing Animated Data with Flourish
Next
Visualizing Charts with Excel"
Editor__VS_Code.md,"Editor: VS Code
---------------------------------------------
Your editor is the most important tool in your arsenal. That’s where you’ll spend most of your time. Make sure you’re comfortable with it.
Visual Studio Code is, by far, the most popular code editor today. According to the 2024 StackOverflow Survey almost 75% of developers use it. We recommend you learn it well. Even if you use another editor, you’ll be working with others who use it, and it’s a good idea to have some exposure.
Watch these introductory videos (35 min) from the Visual Studio Docs to get started:
 Getting Started: Set up and learn the basics of Visual Studio Code. (7 min)
 Code Editing: Learn how to edit and run code in VS Code. (3 min)
 Productivity Tips: Become a VS Code power user with these productivity tips. (4 min)
 Personalize: Personalize VS Code to make it yours with themes. (2 min)
 Extensions: Add features, themes, and more to VS Code with extensions! (4 min)
 Debugging: Get started with debugging in VS Code. (6 min)
 Version Control: Learn how to use Git version control in VS Code. (3 min)
 Customize: Learn how to customize your settings and keyboard shortcuts in VS Code. (6 min)
Previous
1. Development Tools
Next
AI Code Editors: GitHub Copilot"
Scheduled_Scraping_with_GitHub_Actions.md,"Scheduled Scraping with GitHub Actions
----------------------------------------------------------------------------------------------------------------------------
GitHub Actions provides an excellent platform for running web scrapers on a schedule. This tutorial shows how to automate data collection from websites using GitHub Actions workflows.
Key Concepts
 Scheduling: Use cron syntax to run scrapers at specific times
 Dependencies: Install required packages like httpx, lxml
 Data Storage: Save scraped data to files and commit back to the repository
 Error Handling: Implement robust error handling for network issues and HTML parsing
 Rate Limiting: Respect website terms of service and implement delays between requests
Here’s a sample scrape.py that scrapes the IMDb Top 250 movies using httpx and lxml:
import json
import httpx
from datetime import datetime, UTC
from lxml import html
from typing import List, Dict
def scrapeimdb() -> List[Dict[str, str]]:
    """"""Scrape IMDb Top 250 movies using httpx and lxml.
    Returns:
        List of dictionaries containing movie title, year, and rating.
    """"""
    headers = {""User-Agent"": ""Mozilla/5.0 (compatible; IMDbBot/1.0)""}
    response = httpx.get(""https://www.imdb.com/chart/top/"", headers=headers)
    response.raiseforstatus()
    tree = html.fromstring(response.text)
    movies = []
    for item in tree.cssselect("".ipc-metadata-list-summary-item""):
        title = (
            item.cssselect("".ipc-titletext"")[0].textcontent()
            if item.cssselect("".ipc-titletext"")
            else None
        )
        year = (
            item.cssselect("".cli-title-metadata span"")[0].textcontent()
            if item.cssselect("".cli-title-metadata span"")
            else None
        )
        rating = (
            item.cssselect("".ipc-rating-star"")[0].textcontent()
            if item.cssselect("".ipc-rating-star"")
            else None
        )
        if title and year and rating:
            movies.append({""title"": title, ""year"": year, ""rating"": rating})
    return movies
Scrape data and save with timestamp
now = datetime.now(UTC)
with open(f'imdb-top250-{now.strftime(""%Y-%m-%d"")}.json', ""a"") as f:
    f.write(json.dumps({""timestamp"": now.isoformat(), ""movies"": scrapeimdb()}) + ""\n"")Copy to clipboardErrorCopied
Here’s a sample .github/workflows/imdb-top250.yml that runs the scraper daily and saves the data:
name: Scrape IMDb Top 250
on:
  schedule:
    Runs at 00:00 UTC every day
    - cron: ""0 0   ""
  workflowdispatch: Allow manual triggers
jobs:
  scrape-imdb:
    runs-on: ubuntu-latest
    permissions:
      contents: write
    steps:
      - name: Checkout repository
        uses: actions/checkout@v4
      - name: Install uv
        uses: astral-sh/setup-uv@v5
      - name: Run scraper
        run: | python
          uv run --with httpx,lxml,cssselect python scrape.py
      - name: Commit and push changes
        run: |
          git config --local user.email ""github-actions[bot]@users.noreply.github.com""
          git config --local user.name ""github-actions[bot]""
          git add .json
          git commit -m ""Update IMDb Top 250 data [skip ci]"" || exit 0
          git pushCopy to clipboardErrorCopied
Best Practices
1. Cache Dependencies: Use GitHub’s caching to speed up package installation
2. Handle Errors: Implement retries and error logging
3. Rate Limiting: Add delays between requests to avoid overwhelming servers
4. Data Validation: Verify scraped data structure before saving
5. Monitoring: Set up notifications for workflow failures
Tools and Resources
 httpx: Async HTTP client
 GitHub Actions Marketplace
 GitHub Actions Documentation
Video Tutorials
[](https://youtu.be/eJG86J200nM)
Previous
Web Automation with Playwright
Next
Scraping emarketer.com"
CSS_Selectors.md,"CSS Selectors
-------------------------------------------------
CSS selectors are patterns used to select and style HTML elements on a web page. They are fundamental to web development and data scraping, allowing you to precisely target elements for styling or extraction.
For data scientists, understanding CSS selectors is crucial when:
 Web scraping with tools like Beautiful Soup or Scrapy
 Selecting elements for browser automation with Selenium
 Styling data visualizations and web applications
 Debugging website issues using browser DevTools
Watch this comprehensive introduction to CSS selectors (20 min):
[](https://youtu.be/l1mER1bV0N0)
The Mozilla Developer Network (MDN) provides detailed documentation on the three main types of selectors:
 Basic CSS selectors: Learn about element (div), class (.container), ID (header), and universal () selectors
 Attribute selectors: Target elements based on their attributes or attribute values ([type=""text""])
 Combinators: Use relationships between elements (div > p, div + p, div ~ p)
Practice your CSS selector skills with this interactive tool:
 CSS Diner: A fun game that teaches CSS selectors through increasingly challenging levels
Previous
Browser: DevTools
Next
JSON"
2._Deployment_Tools.md,"Deployment Tools
==========================================================
Any application you build is likely to be deployed somewhere. This section covers the most popular tools involved in deploying an application.
Previous
Version Control: Git, GitHub
Next
Markdown"
Regression_with_Excel.md,"Regression with Excel
-------------------------------------------------------------------------
[](https://youtu.be/AERQBMIHwXA)
You’ll learn to perform regression analysis using Excel, covering:
 Data Preparation: Understanding the cleaned dataset and necessary columns for analysis.
 Enabling the Tool: How to enable the Data Analysis Tool Pack in Excel.
 Types of Regression: Differences between simple and multiple linear regression.
 Setting Up Regression: Steps to input dependent (new deaths) and independent variables (new cases, new tests, new vaccinations, stringency index) for the analysis.
 Interpreting Output: Reading the regression output, focusing on adjusted R-squared, significance value (F-test), and P-values.
 Coefficient Interpretation: Understanding the impact of each independent variable on the dependent variable, including scaling factors (per 1000 units).
 Model Evaluation: Evaluating the model based on significance values and understanding the implications of unexpected results (e.g., stringency index).
 Further Analysis: Recognizing the need for additional analysis when encountering unexpected or inconclusive results.
Here are the links used in the video:
 Understand regression
 COVID-19 vaccinations - Regression Excel file
 COVID-19 vaccinations - Regression Model 2 Excel file
Previous
Correlation with Excel
Next
Forecasting with Excel"
